freq_hz,omega_rad_s,amp_m,amp_h1_m
6.454875003911427029e+02,4.055717578425705597e+03,4.080817948072395857e-08,4.081064511146816269e-08
6.404875003911434987e+02,4.024301651889812092e+03,3.981383251783538670e-08,3.981565752033601598e-08
6.354875003911440672e+02,3.992885725353918133e+03,3.879539071535866753e-08,3.879671211472084612e-08
6.304875003911447493e+02,3.961469798818024174e+03,3.777888230924927971e-08,3.777978172237639664e-08
6.254875003911453177e+02,3.930053872282129760e+03,3.678027525200179199e-08,3.678081585825232301e-08
6.204875003911458862e+02,3.898637945746235346e+03,3.580913361750719442e-08,3.580936935962933294e-08
6.154875003911464546e+02,3.867222019210340932e+03,3.487088766282122981e-08,3.487086498647510897e-08
6.104875003911469094e+02,3.835806092674446063e+03,3.396827448204347060e-08,3.396803209633580377e-08
6.054875003911473641e+02,3.804390166138551194e+03,3.310226804137906853e-08,3.310183602935085783e-08
6.004875003911478188e+02,3.772974239602656326e+03,3.227268875792675576e-08,3.227208579724056215e-08
5.954875003911483873e+02,3.741558313066761457e+03,3.147859740083305778e-08,3.147783452514439229e-08
5.904875003911488420e+02,3.710142386530866588e+03,3.071857513741864050e-08,3.071764372586948942e-08
5.854875003911492968e+02,3.678726459994971719e+03,2.999089409455486327e-08,2.998975580165230729e-08
5.804875003911498652e+02,3.647310533459076851e+03,2.929364512245479230e-08,2.929220123625806897e-08
5.754875003911503200e+02,3.615894606923181982e+03,2.862485602504493484e-08,2.862285006727634567e-08
5.704875003911507747e+02,3.584478680387287113e+03,2.798229078001043479e-08,2.797937860605542880e-08
5.654875003911512295e+02,3.553062753851392245e+03,2.736670667311547894e-08,2.735891818000755156e-08
5.604875003911517979e+02,3.521646827315497376e+03,2.681141927706751335e-08,2.676462123269385724e-08
5.554875003911521389e+02,3.490230900779602052e+03,2.619679358608859555e-08,2.619089256260007904e-08
5.504875003911527074e+02,3.458814974243707638e+03,2.563068883536850897e-08,2.562843820253983522e-08
5.454875003911532758e+02,3.427399047707813224e+03,2.508313143140392440e-08,2.508129143737774910e-08
5.404875003911538442e+02,3.395983121171918810e+03,2.454812966681376777e-08,2.454609425198873873e-08
5.354875003911544127e+02,3.364567194636024396e+03,2.402226024221183915e-08,2.401970985941092350e-08
5.304875003911550948e+02,3.333151268100130437e+03,2.350218560113356224e-08,2.349877513255209519e-08
5.254875003911556632e+02,3.301735341564236478e+03,2.298428233819200574e-08,2.297949865985703272e-08
5.204875003911563454e+02,3.270319415028342519e+03,2.246449778334971624e-08,2.245746314235201222e-08
5.154875003911570275e+02,3.238903488492449014e+03,2.193831254730541003e-08,2.192736790506965917e-08
5.104875003911577096e+02,3.207487561956555510e+03,2.140178059733984824e-08,2.138266300690167614e-08
5.054875003911585054e+02,3.176071635420662460e+03,2.085170742877993929e-08,2.081500596319208405e-08
5.004875003911593012e+02,3.144655708884769410e+03,2.034668126834769842e-08,2.021341679436444588e-08
4.954875003911601539e+02,3.113239782348876815e+03,2.019669530933891803e-08,1.956283451745191585e-08
4.904875003911610065e+02,3.081823855812984220e+03,2.238753566287180060e-08,1.884512666008217280e-08
4.854875003911619160e+02,3.050407929277092080e+03,1.853396318146597009e-08,1.802503798575975800e-08
4.804875003911628255e+02,3.018992002741199940e+03,1.724044755691941918e-08,1.705753675378632993e-08
4.754875003911637918e+02,2.987576076205308254e+03,1.594856685175303177e-08,1.586607818431294622e-08
4.704875003911649287e+02,2.956160149669417478e+03,1.434511801170982184e-08,1.431584066207264341e-08
4.654875003911661793e+02,2.924744223133527157e+03,1.215717219683081918e-08,1.214800222780361631e-08
4.604875003911674298e+02,2.893328296597637291e+03,8.762939100758838184e-09,8.808242223814752815e-09
4.554875003911691920e+02,2.861912370061750153e+03,3.338807729479215764e-09,3.478454837194069948e-09
4.504875003911732847e+02,2.830496443525878021e+03,1.532481298742335061e-08,1.558865888964476443e-08
4.454875003912217721e+02,2.799080516990284650e+03,1.279836004135905392e-07,1.280454394951162584e-07
4.404875003884462217e+02,2.767664590436947492e+03,6.785069393333237098e-08,6.795354204315126678e-08
4.354875003884457669e+02,2.736248663901046712e+03,4.349043200691981554e-08,4.357216838195855763e-08
4.304875003884480407e+02,2.704832737365163212e+03,3.561074820370909393e-08,3.561716793931749543e-08
4.254875003884500302e+02,2.673416810829277892e+03,3.163933742871011025e-08,3.163371936000822328e-08
4.204875003884521334e+02,2.642000884293393028e+03,2.921278764004654982e-08,2.919748242127058044e-08
4.154875003884543503e+02,2.610584957757509073e+03,2.757914429235132855e-08,2.751882613207481063e-08
4.104875003884565103e+02,2.579169031221624664e+03,2.627248282070288183e-08,2.626603484899248122e-08
4.054875003884590114e+02,2.547753104685742528e+03,2.527618774157960604e-08,2.527280382476971273e-08
4.004875003884616831e+02,2.516337178149861302e+03,2.444929138699965859e-08,2.444699844888376358e-08
3.954875003884646389e+02,2.484921251613981894e+03,2.373821611458133298e-08,2.373265741912588299e-08
3.904875003884678222e+02,2.453505325078103851e+03,2.309878449637212451e-08,2.309317418594044719e-08
3.854875003884711759e+02,2.422089398542227173e+03,2.250949561564283481e-08,2.250297242420468533e-08
3.804875003884748708e+02,2.390673472006352313e+03,2.195115516042141840e-08,2.194300794772496387e-08
3.754875003884787930e+02,2.359257545470479272e+03,2.140886401178862702e-08,2.139816788194855299e-08
3.704875003884832267e+02,2.327841618934608960e+03,2.087029077760744094e-08,2.085566514431443022e-08
3.654875003884879447e+02,2.296425692398740921e+03,2.032474826622393507e-08,2.030397823672478172e-08
3.604875003884931743e+02,2.265009765862875611e+03,1.976279904451822377e-08,1.973209701021875975e-08
3.554875003884988587e+02,2.233593839327013484e+03,1.921588584959055121e-08,1.912894088382083173e-08
3.504875003885050546e+02,2.202177912791154540e+03,1.868084510078618777e-08,1.848287569598816002e-08
3.454875003885118758e+02,2.170761986255299234e+03,1.816236516630224810e-08,1.778130406275386510e-08
3.404875003885193792e+02,2.139346059719448476e+03,1.789522848784968376e-08,1.701039631888262463e-08
3.354875003885276783e+02,2.107930133183602720e+03,1.819424262993807701e-08,1.615538789181224301e-08
3.304875003885368301e+02,2.076514206647762421e+03,2.097995743106716631e-08,1.520349931422019018e-08
3.254875003885476303e+02,2.045098280111932354e+03,3.223285256432426019e-08,1.407181718840698580e-08
3.204875003885473461e+02,2.013682353576032483e+03,2.126750495192286648e-08,1.275954809536724725e-08
3.154875003885598517e+02,1.982266427040213102e+03,1.641972326609068066e-08,1.132645541580886201e-08
3.104875003885734941e+02,1.950850500504400998e+03,1.076908762365116843e-08,9.627869073231134935e-09
3.054875003885555316e+02,1.919434573968390168e+03,9.259663766620853766e-09,7.663669899950085270e-09
3.004875003885730393e+02,1.888018647432602393e+03,7.011631088924696851e-09,5.401599464374789219e-09
2.954875003885928777e+02,1.856602720896829169e+03,4.974536946844521369e-09,3.014791497815139053e-09
2.904875003886154445e+02,1.825186794361072771e+03,5.562895087215620451e-09,2.712754800822667562e-09
2.854875003886412514e+02,1.793770867825337064e+03,6.841944425010778386e-09,6.264554982662393400e-09
2.804875003886710942e+02,1.762354941289626595e+03,1.166185344188816654e-08,1.146366063883596130e-08
2.754875003887058824e+02,1.730939014753947504e+03,1.808721588548733727e-08,1.821183487351989375e-08
2.704875003887473781e+02,1.699523088218310022e+03,2.646347440379705925e-08,2.699465451684572035e-08
2.654875003887979119e+02,1.668107161682729839e+03,3.774215963876867086e-08,3.866546615873720242e-08
2.604875003888623723e+02,1.636691235147236739e+03,5.319117363057365958e-08,5.466057990673205804e-08
2.554875003889504228e+02,1.605275308611892115e+03,7.533841066152635361e-08,7.753931576669266118e-08
2.504875003890868754e+02,1.573859382076851489e+03,1.090688704627599472e-07,1.123154353852239933e-07
2.454875003893497478e+02,1.542443455542605307e+03,1.729006557431489489e-07,1.702506291943532561e-07
2.404875003900511672e+02,1.511027529011114439e+03,2.678604599865403739e-07,2.824112180580327916e-07
2.354875003938331304e+02,1.479611602498979437e+03,5.505739023776729917e-07,5.638988131782043459e-07
2.304875004191125925e+02,1.448195676121916904e+03,1.239535945922326343e-06,1.268440243386798842e-06
2.292375004650697861e+02,1.440341694776700024e+03,1.440464250180519801e-06,1.451772727510611023e-06
2.279875005260454373e+02,1.432487713525846857e+03,1.553054494729531157e-06,1.547607615254931086e-06
2.267375005814844542e+02,1.424633732240205973e+03,1.428709256218576734e-06,1.419515969986695906e-06
2.254875006044856036e+02,1.416779750750752100e+03,1.118000469454995857e-06,1.112685669381704762e-06
2.242375006155914718e+02,1.408925769186557773e+03,8.831678672488383529e-07,8.811713535963875135e-07
2.192375006165590321e+02,1.377509842656739238e+03,5.024906845564728412e-07,5.018712072546307741e-07
2.142375006175090562e+02,1.346093916126810427e+03,3.745262659045932398e-07,3.748400675047261991e-07
2.092375006179765933e+02,1.314677989593850043e+03,3.132327309863878232e-07,3.134489623029589469e-07
2.042375006183491735e+02,1.283262063060293258e+03,2.786489422713344023e-07,2.788214392089023429e-07
1.992375006187313033e+02,1.251846136526796272e+03,2.578994044116370038e-07,2.579203840407414768e-07
1.942375006191684008e+02,1.220430209993644667e+03,2.447117269044053341e-07,2.451718608756001277e-07
1.892375006196945151e+02,1.189014283461052401e+03,2.368858415529994886e-07,2.378255741368566400e-07
1.842375006203464807e+02,1.157598356929250940e+03,2.340442974647789623e-07,2.344006068263254889e-07
1.792375006211720176e+02,1.126182430398539964e+03,2.338181712787729636e-07,2.340633675152158410e-07
1.742375006222373486e+02,1.094766503869335793e+03,2.362736678932791446e-07,2.363465629079795533e-07
1.692375006236389936e+02,1.063350577342244605e+03,2.416989659636892411e-07,2.410081630239787803e-07
1.642375006255215339e+02,1.031934650818174987e+03,2.497613019836371160e-07,2.479522524556756246e-07
1.592375006281068579e+02,1.000518724298521079e+03,2.611504321689296152e-07,2.571632560925707090e-07
1.542375006317260784e+02,9.691027977853634638e+02,2.784912663533056355e-07,2.685616275382035070e-07
1.492375006364248406e+02,9.376868712789886331e+02,3.347950407968413886e-07,2.806149543003045667e-07
1.442375006417157977e+02,9.062709447763348862e+02,2.868889710974027766e-07,3.008723501432241871e-07
1.429875006443851930e+02,8.984169631591327061e+02,2.925004440489295741e-07,3.050084041903489864e-07
1.379875006584326513e+02,8.670010367114975907e+02,3.162736638109174861e-07,3.225085719705088560e-07
1.329875006801157156e+02,8.355851103118382071e+02,3.383332185589983475e-07,3.393034374446692699e-07
1.279875007113804912e+02,8.041691839723827115e+02,3.575807198645741698e-07,3.527419295085848696e-07
1.229875007523865378e+02,7.727532576941333673e+02,3.700278061682402457e-07,3.611768523236238379e-07
1.179875008018119047e+02,7.413373314687842139e+02,3.733587236021972030e-07,3.646554641271043290e-07
1.129875008584847080e+02,7.099214052889719824e+02,3.676245370595340806e-07,3.645149328463781612e-07
1.079875009224066815e+02,6.785054791547077002e+02,3.494403285271764282e-07,3.627146570484908385e-07
